#{"t_start": 1575120695.6702447, "env_id": "Taxi-v3"}
r,l,t
-803,200,7.01268
-674,182,7.166356
-848,200,7.32358
-821,200,7.48952
-695,200,7.651704
-722,200,9.08672
-722,200,9.957941
-803,200,10.744512
-525,141,11.277081
-668,200,11.978939
-794,200,12.665186
-668,200,13.351398
-794,200,14.031113
-641,200,14.701686
-704,200,15.419121
-668,200,16.105331
-542,200,16.807182
-731,200,17.477765
-677,200,18.163968
-569,200,18.865811
-650,200,19.567643
-596,200,20.26948
-659,200,20.949166
-650,200,21.673138
-740,200,22.406234
-677,200,23.076831
-632,200,23.778671
-677,200,24.681046
-632,200,25.683594
-623,200,26.617147
-494,200,27.419282
-596,200,28.268284
-686,200,29.324248
-614,200,30.141971
-605,200,31.207868
-247,97,31.593315
-596,200,32.665239
-524,200,33.436154
-668,200,34.153677
-560,200,35.87189
-142,55,36.17277
-506,200,37.987374
-551,200,38.827294
-461,200,39.52887
-391,169,40.146058
-441,183,41.437123
-533,200,42.777735
-2,14,42.878034
-524,200,43.757554
-533,200,44.544036
-452,200,45.245865
-533,200,45.96332
-515,200,46.665152
-305,164,47.219836
-569,200,47.921661
-134,65,48.137808
-461,200,48.824018
-17,20,48.89302
-7,19,48.971148
-443,200,49.672972
-398,200,50.359176
-542,200,51.029752
-242,128,51.477685
-14,17,51.531075
-371,200,52.201655
-241,127,52.633637
-461,200,53.319839
-425,200,53.999532
-443,200,54.67011
-398,200,55.356312
-416,200,56.073772
-416,200,56.960497
-28,22,57.060757
-51,36,57.21441
-32,26,57.330311
-326,185,58.248209
-443,200,59.034688
-398,200,59.72088
-335,200,60.422704
-470,200,61.102398
-353,200,61.788602
-290,200,62.474824
-416,200,63.176094
-317,200,63.877933
4,17,63.946946
13,8,63.978193
-425,200,64.711287
-371,200,65.413094
-179,119,65.836295
9,12,65.867552
-23,44,66.014682
-335,200,66.700877
-344,200,67.387109
-326,200,68.073302
-317,200,68.743875
-308,200,69.439197
-179,110,69.824611
-79,64,70.040756
-380,200,70.72032
-317,200,71.444278
10,11,71.482043
11,10,71.513291
-299,200,72.315382
-243,165,73.070298
-326,200,73.903008
7,14,73.956397
8,13,74.003283
-218,200,74.774155
7,14,74.836651
13,8,74.858785
-227,200,75.591884
-236,200,76.278078
-254,200,77.111444
-254,200,77.882183
8,13,78.013716
-227,200,78.884822
-236,200,79.671398
-236,200,80.388865
10,11,80.420113
4,17,80.489133
-227,200,81.206591
4,8,81.222216
11,10,81.269086
3,18,81.338098
-227,200,82.024319
-227,200,82.725942
-42,63,82.942086
-218,200,83.681692
9,12,83.728573
-227,200,84.446024
-218,200,85.147877
-200,200,85.84969
-209,200,86.567144
-200,200,87.268978
-200,200,87.992963
-209,200,88.942238
13,8,88.973487
-218,200,89.875869
-171,192,90.662164
-218,200,91.379631
-209,200,92.103609
-218,200,92.821058
7,14,92.867931
-227,200,93.585382
4,17,93.638774
3,18,93.70778
5,16,93.770283
-218,200,94.50986
-200,200,95.227337
12,9,95.258585
-218,200,95.976025
-48,60,96.192163
-45,66,96.414819
-209,200,97.364082
8,13,97.433101
-209,200,98.281941
-114,117,98.698602
4,17,98.75199
9,12,98.798862
-200,200,99.522814
-16,37,99.654333
-218,200,100.371786
-218,200,101.08924
-209,200,101.822318
-209,200,102.530573
-200,200,103.248042
-127,130,103.711591
-209,200,104.567095
-209,200,105.500728
7,14,105.569741
10,11,105.616611
-200,200,106.487199
-200,200,107.220297
-200,200,107.975152
-200,200,108.692605
-245,200,109.447816
-209,200,110.149637
-227,200,110.88271
-200,200,111.600165
-200,200,112.302001
-200,200,113.019469
-53,74,113.289009
-200,200,114.006479
-209,200,114.723941
-218,200,115.441388
-209,200,116.143222
-209,200,116.845063
-200,200,117.546901
-200,200,118.248737
-218,200,118.950577
-218,200,119.63678
-236,200,120.43889
-114,117,120.955834
-200,200,121.827894
-218,200,122.644594
-200,200,123.34641
-218,200,124.117266
-200,200,124.966249
-209,200,125.790524
-218,200,126.639525
-218,200,127.457263
-218,200,128.484112
-227,200,129.286197
-209,200,130.057068
-200,200,131.075713
9,12,131.10696
-218,200,131.840041
10,11,131.877806
-218,200,132.663928
-31,52,132.89571
-209,200,133.6288
-218,200,134.345932
-90,102,134.700116
-218,200,135.4332
6,15,135.48659
-218,200,136.304311
3,18,136.388959
-218,200,137.306945
-209,200,138.193032
8,13,138.255529
-227,200,139.042028
-209,200,139.812874
-209,200,140.561582
-209,200,141.285565
2,19,141.363692
-209,200,142.087649
11,10,142.118909
-209,200,142.851981
-209,200,143.569441
-200,200,144.286883
12,9,144.309026
-209,200,145.042106
5,16,145.09549
-227,200,145.828613
-200,200,146.546062
-6,18,146.59944
8,13,146.661946
-200,200,147.479672
7,14,147.533058
-209,200,148.266155
4,17,148.319542
-209,200,149.052609
-209,200,149.770075
10,11,149.807831
10,11,149.839089
-218,200,150.556538
-209,200,151.27399
9,12,151.327378
7,14,151.374251
-218,200,152.113834
6,15,152.207588
-6,18,152.292233
11,10,152.329996
7,14,152.408115
13,8,152.44588
5,16,152.514882
-209,200,153.484256
5,16,153.553275
-96,108,154.050022
8,13,154.094774
-200,200,154.941079
0,21,155.003584
10,11,155.056968
-209,200,155.774426
11,10,155.805673
0,21,155.874696
5,16,155.943703
-209,200,156.761421
11,10,156.808292
-4,16,156.892929
11,10,156.9398
-200,200,157.864319
8,13,157.926815
-218,200,158.666469
-218,200,159.368307
-227,200,160.085761
10,11,160.117008
8,13,160.170399
5,16,160.217267
7,14,160.270661
15,6,160.301909
-44,65,160.533684
12,9,160.555817
-218,200,161.304519
2,19,161.357898
3,18,161.420401
-209,200,162.137868
-218,200,162.854987
-209,200,163.563331
10,11,163.61021
12,9,163.641461
11,10,163.679225
11,10,163.710476
-200,200,164.427941
4,17,164.481339
-209,200,165.198814
6,15,165.245682
8,13,165.314695
-209,200,166.075112
11,10,166.137608
-218,200,166.865685
10,11,166.903453
4,17,166.965948
-5,17,167.019339
4,17,167.088358
7,14,167.135226
7,14,167.188615
6,15,167.235485
9,12,167.273246
-209,200,167.990521
8,13,168.053022
-209,200,168.99318
-200,200,169.928236
10,11,169.980116
7,14,170.038552
14,7,170.080309
-236,200,170.913672
6,15,170.982673
3,18,171.045178
-200,200,171.762662
10,11,171.816049
-4,16,171.862922
4,17,171.931931
-227,200,172.645603
7,14,172.686865
-218,200,173.388689
14,7,173.419946
6,15,173.466818
3,18,173.535832
-227,200,174.237666
0,12,174.268916
9,12,174.322305
7,14,174.369178
6,15,174.422567
3,18,174.491572
-209,200,175.193405
-200,200,175.91064
7,14,175.957512
5,16,176.0109
0,12,176.057771
9,12,176.095539
4,17,176.158045
4,17,176.211434
8,13,176.258311
2,19,176.32732
-209,200,177.029169
6,15,177.091669
6,15,177.145056
2,19,177.19844
10,11,177.245322
-102,123,177.661842
-52,73,177.915793
-209,200,178.617621
13,8,178.648869
6,15,178.702246
4,17,178.764749
9,12,178.802505
9,12,178.849383
5,16,178.902763
4,17,178.965265
10,11,179.00302
8,13,179.049897
6,15,179.10328
2,19,179.165784
13,8,179.203537
9,12,179.25042
7,14,179.297291
7,14,179.335052
8,13,179.381924
9,12,179.419691
4,17,179.482189
-200,200,180.168399
2,19,180.237411
8,13,180.268661
10,11,180.306416
11,10,180.353295
-19,40,180.484802
9,12,180.522567
5,16,180.58506
-4,16,180.638447
10,11,180.669695
7,14,180.72309
-218,200,181.409294
14,7,181.440553
-9,21,181.509553
-209,200,182.27389
9,12,182.311647
9,12,182.358529
3,18,182.411909
-4,16,182.474412
9,12,182.51217
